ID,Text,Comment
Automation.State.Off,Apagat,A state label when a signal is switched off which is shown next to lightbulb icon.
Automation.State.On,Encès,A state label when a signal is switched on which is shown next to lightbulb icon.
Automation.State.Processing,Processant...,A state label when a signal is switched on which is shown next to lightbulb icon. This state indicates that the element is in the middle of processing new data.
Automation.Threshold,Llindar: {0},Label for the threshold value in the automation panel. {0} is a value being a threshold.
Automation.Usages,Usos: {0},As in the number of usages - how many objects use this one.
Autosave.Failure,L'autodesament ha fallat,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,L'autodesament ha fallat per falta d'espai al disc,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Autodesat,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Distribució,Title of the distribution panel
BatchControl.Housing,Habitatge,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Energia,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migració,Title of migration panel
BatchControl.NoDistrict,No hi ha cap districte seleccionat.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Població,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Gestiona l'assentament,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Magatzematge,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Llocs de treball,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Castor adult,
Beaver.Adulthood,Edat adulta,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Edat: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Castor jove,
Beaver.DeadNameSuffix,(mort),Preceded by beaver name and age
Beaver.DiedOldAge,{0} ha mort de vell.,{0} stands for beaver name
Beaver.Employment,Ocupació,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} ha crescut.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Sense llar,Signifies that the beaver has no home
Beaver.HomelessPlural,Sense llar,Label before number of homeless beavers
Beaver.House,Viu a: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,S'ha llançat {0}.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Castors,
Beaver.Population.Adults,Adults,Label before number of adult beavers
Beaver.Population.Children,Joves,Label before number of kit beavers
Beaver.Population.Contaminated,Contaminats,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Adults contaminats,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Joves contaminats,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Sense feina,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Sense feina,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Treballa a: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Capacitat de càrrega,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Probabilitat de tala,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Velocitat de creixement,Speed at which young beavers grow up
Bonus.LifeExpectancy,Esperança de vida,The presumed length of beavers' life.
Bonus.MovementSpeed,Velocitat de moviment,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Velocitat de treball,Speed at which the beavers work.
Bot.BeaversPerished,"Ni tan sols em facis començar amb els castors.
Ho tenien tot. Aire fresc, aigua neta.
Ara només en queda un record llunyà.","Text for a game over state, when all beavers have perished."
Bot.Created,S'ha creat {0}!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(destruït),Preceded by bot name and age
Bot.DeathMessage,{0} s'ha avariat.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Fustabot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Ferrobot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Durabilitat,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Bots,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Bot,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Els nutrients els porten els transportistes, els aturats i els treballadors després de la jornada.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Nutrients necessaris:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Progrés de cria,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,"Fes servir aquesta eina per establir la prioritat de construcció, demolició i recollida de béns de les runes.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,Fes clic en un element per establir-ne la prioritat o mantén premut el botó per seleccionar una àrea més gran.,
Building.AdvancedBreedingPod.Description,"Utilitza un procés de cria avançat per produir castors adults, amb ganes de posar-se a treballar.",Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Càpsula de cria avançada,
Building.AdvancedBreedingPod.FlavorDescription,La idea va sorgir quan un cadell va caure dins d'un calder ple d'extracte i va fer una estirada gegant després de beure-se'l tot.,"Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,Un gran punt de trobada on els castors poden debatre temes relacionats amb la fusta.,
Building.Agora.DisplayName,Àgora,
Building.Agora.FlavorDescription,"Quan s'encenen els fars verds, és el senyal perquè els Cuesfusta es reuneixin.",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,Perforadora d'aqüífers antiga,
Building.AncientAquiferDrill.FlavorDescription,L'últim intent desesperat dels humans per recuperar el que s'havia perdut.,
Building.AquaticFarmhouse.Description,Dona feina a pagesos especialitzats per plantar i collir conreus <YellowHighlight>Aquàtics</YellowHighlight>.,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Granja Aquàtica,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"""Una vegada va córrer el rumor que mengem peix. Fastigós!"" —Ma' Ngonel","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,Una font subterrània d'aigua.,
Building.Aquifer.DisplayName,Aqüífer,
Building.Aquifer.FlavorDescription,No és difícil de trobar quan és tan sorollós.,
Building.AquiferDrill.Description,Extreu aigua d'un aqüífer.,
Building.AquiferDrill.DisplayName,Perforadora d'aqüífers,
Building.AquiferDrill.FlavorDescription,"A diferència dels castors, està fet per deixar passar l'aigua.",
Building.BadtideDrain.Description,Expulsa aigua tòxica durant una Marea Tòxica.,
Building.BadtideDrain.DisplayName,Desguàs de Marea Tòxica,
Building.BadtideDrain.FlavorDescription,"""Això és per al que els humans feien servir canonades? Ugh."" —Pina.","Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.BadwaterDischarge.Description,"Segella una Font d'aigua tòxica. Es pot obrir o tancar. Quan és oberta, l'aigua tòxica flueix fins i tot durant les sequeres.","Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,Desguàs d'aigua tòxica,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,Només s'hi permet l'accés a autèntics enginyers civils.,This is a reference to a youtuber called Real Civil Engineer.
Building.BadwaterDome.Description,Segella una Font d'aigua tòxica. Es pot obrir o tancar quan vulguis.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.DisplayName,Cúpula d'aigua tòxica,Name of the building that stops flow of badwater when put on its source. It's a dome shaped mechanical building that can open and close by raising the cover up and down. Badwater must be the same as Good.Badwater.DisplayName.
Building.BadwaterDome.FlavorDescription,Si no hi ha aigua tòxica no hi ha plors.,"This is a reference to a Bob Marley song ""No woman, no cry""."
Building.BadwaterPump.Description,Una bomba reforçada capaç d'extreure aigua tòxica. La baixa contaminació d'aigua tòxica en redueix la velocitat de bombeig.,Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.BadwaterPump.DisplayName,Bomba d'aigua tòxica,Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterPump.FlavorDescription,"""Tant de bo les mesures de protecció addicionals incloguessin taps pel nas."" —Suli",Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.BadwaterRig.Description,Segella una Font d'aigua tòxica. Dona feina a treballadors que extreuen aigua tòxica directament de la font.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterRig.DisplayName,Plataforma d'extracció d'aigua tòxica,Name of the building that stops flow from badwater source and generates Good.Badwater.DisplayName goods (by extracting them from source). It's a mechanical building that needs workers to operate. Badwater must be the same as Good.Badwater.DisplayName
Building.BadwaterRig.FlavorDescription,Els que treballen sobre una font d'aigua tòxica bullent senten una pressió constant.,Play on words with pressure referring to both water pressure and stress. If possible try to adapt the phrase to fit your language.
Building.BadwaterSeep.Description,Una font d'aigua tòxica amb pressió limitada.,
Building.BadwaterSeep.DisplayName,Filtració d'aigua tòxica,"A building that allows badwater to seep through, creating a natural badwater source."
Building.BadwaterSeep.FlavorDescription,Pressió limitada, perills il·limitats.
Building.BadwaterSource.DisplayName,Font d'aigua tòxica,A crack or spring in the ground spuming badwater. Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterSource.FlavorDescription,"""Per què hem de netejar el desastre dels humans? Ah, és clar, són tots morts."" —Pina",
Building.Bakery.Description,Enforna pa i brioixeria amb diferents farines.,Pastry being a baked good.
Building.Bakery.DisplayName,Fleca,Building that bakes bread
Building.Bakery.FlavorDescription,"""No hi ha res com un panet calent amb una mica de serradures per sobre."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,Habitatge compartit i pràctic.,
Building.Barrack.DisplayName,Barraca,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,"""Dos cuesfusta entren en una barraca."" —acudit de dents de ferro","Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.BeaverBust.Description,Un bust d'un castor d'aspecte important.,
Building.BeaverBust.DisplayName,Bust de castor,
Building.BeaverBust.FlavorDescription,Als cadells entremaliats els agrada afegir detalls a la cara d'Ol' Kazko.,"Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization. Kits are young beavers."
Building.BeaverStatue.Description.Folktails,Una estàtua d'un castor ben alimentat.,
Building.BeaverStatue.Description.IronTeeth,Una estàtua d'un castor treballador.,
Building.BeaverStatue.DisplayName,Estàtua de castor,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,Et fa sentir orgull als bons anys i gana als dolents.,The statue shows a beaver with a full belly so it can make one hungry when looking at it.
Building.BeaverStatue.FlavorDescription.IronTeeth,El disseny original amb falç es va considerar massa estil Cuesfusta.,This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName).
Building.Beehive.Description,Impulsa el creixement dels conreus propers.,
Building.Beehive.DisplayName,Aviram,
Building.Beehive.FlavorDescription,"""Al final t'acostumes al brunzit."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bell.Description,Toca a l'inici i al final de la jornada laboral.,This is a large metal bell that rings twice a day.
Building.Bell.DisplayName,Campana,A large metal bell
Building.Bell.FlavorDescription,"""El toc del matí és el que has d'esperar amb ganes."" —Ol' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Bench.DisplayName,Banc,
Building.Bench.FlavorDescription,"De tant en tant, algun vàndal menja a la propietat pública.",
Building.Blockage.Description,Una barrera natural que bloqueja l'aigua. Es pot demolir.,Demolished meaning removed by a worker.
Building.Blockage.DisplayName,Obstrucció,"Not a dam since that's another building in game but if not possible it could be called a Natural Dam. Visually, it's a block made out of twigs and loose stones."
Building.Blockage.FlavorDescription,És sorprenent que la natura creï coses a l'alçada de l'enginyeria castora.,
Building.BotAssembler.Description,Assembla bots autònoms per dur a terme tasques quotidianes.,Bots should be the same as Bot.PluralDisplayName
Building.BotAssembler.DisplayName,Assemblea de bots,A factory for assembling bots. Bot should be the same as Bot.TemplateName
Building.BotAssembler.FlavorDescription,"Tot va començar amb un simple ""i si avui no hagués de treballar?"" —Pina",
Building.BotPartFactory.Description,Fabrica components de bots.,Bot should be the same as Bot.TemplateName
Building.BotPartFactory.DisplayName,Fàbrica de components de bots,"A factory for creating bot parts, that are later assembled into full bots. Bot should be the same as Bot.TemplateName."
Building.BotPartFactory.FlavorDescription,"""Fet! Espera, què hi fa aquest cargol aquí?"" —Pina",
Building.Brazier.Description,Un foc intens contingut amb seguretat dins d'un recinte decoratiu.,
Building.Brazier.DisplayName,Braser,
Building.Brazier.FlavorDescription,"""Uau, això crema... en el bon sentit."" —Suli",Play on words with lit meaning both lit up and cool. If possible try to adapt the phrase to fit your language. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.BrazierOfBonding.DisplayName,Braser de la unió,A large brazier surrounded by statues of a beaver family
Building.BrazierOfBonding.FlavorDescription,"""Si no és per nosaltres, que sigui per les generacions futures."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.BreedingPod.Description,"La manera preferida, i única, de reproduir-se dels Dents de Ferro.",Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Càpsula de cria,
Building.BreedingPod.FlavorDescription,"""Els cadells són el nostre futur. En necessitem dotze més abans del mes vinent."" —Ol' Kazko","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BuildersHut.Description,Ocupa constructors addicionals.,
Building.BuildersHut.DisplayName,Barraca dels constructors,
Building.BuildersHut.FlavorDescription,Castoroma no es va construir en un dia. La llegenda diu que en sis hores.,Beaverome is a mythical beaver city built by beavers of many different factions who banded together to work on timbertech for the greater good of all beavers.
Building.BulletinPole.Description,Un pal decoratiu per a missatges públics.,
Building.BulletinPole.DisplayName,Pal de butlletins,
Building.BulletinPole.FlavorDescription,T'has lesionat a la feina? Potser tens dret a compensació! Contacta amb Suli.,Reference to common compensation scam text. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.Campfire.Description,Un lloc perquè els castors es relaxin i socialitzin al vespre.,
Building.Campfire.DisplayName,Foguera,
Building.Campfire.FlavorDescription,"De vegades, foc i fusta fan bona parella.",
Building.Carousel.Description,Un carrusel de fusta per a castors de totes les edats.,
Building.Carousel.DisplayName,Carrusel,Alternative name: Merry-Go-Round
Building.Carousel.FlavorDescription,"""On creus que vas, cadell? Aquestes branques no es pelaran soles."" —Ma' Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Centrifuge.Description,Maquinària pesada que transforma la perillosa aigua tòxica en extracte utilitzable.,Badwater should be the same as Good.Badwater.DisplayName. Extract should be the same as Good.Extract.DisplayName.
Building.Centrifuge.DisplayName,Centrifugadora,
Building.Centrifuge.FlavorDescription,La idea va sorgir després que un carrusel de cuesfusta girés massa ràpid.,"Folktails must be the same as Faction.Folktails.DisplayName, carousel should be the same as Building.Carousel.DisplayName."
Building.ChargingStation.Description,Un lloc on els bots venen a recarregar-se.,Bots should be the same as Bot.PluralDisplayName
Building.ChargingStation.DisplayName,Estació de càrrega,A mechanically powered building where bots come to recharge
Building.ChargingStation.FlavorDescription,No utilitzar amb dispositius que no siguin Ferrobot.,"Referring the annoying ""a different connector for each device"" trend in IT. Ironbot must be the same as Bot.DisplayName.IronTeeth"
Building.Chronometer.Description,Envia un senyal basat en l'hora del dia.,
Building.Chronometer.DisplayName,Cronòmetre,The name of a building which sends automation signals based on time.
Building.Chronometer.EndTime,Final: {0},"{0} is a time in hours with h suffix, e.g. 1.2h"
Building.Chronometer.Mode.NonWorkingHours,Hores no laborals,"One of the modes of the Chronometer, that makes it active during non-working hours"
Building.Chronometer.Mode.TimeRange,Interval de temps,"One of the modes of the Chronometer, that lets player select custom start and end time"
Building.Chronometer.Mode.WorkingHours,Hores laborals,"One of the modes of the Chronometer, that makes it active during working hours"
Building.Chronometer.StartTime,Inici: {0},"{0} is a time in hours with h suffix, e.g. 1.2h"
Building.Clutch.Description,Connecta o desconnecta la transmissió d'energia.,'power' must be consistent with other uses of the word in the game.
Building.Clutch.DisplayName,Embragatge,As in the car part - it engages and disengages power shaft connections.
Building.Clutch.Mode.Disengaged,Desconnectat,As in the car part - it engages and disengages power shaft connections.
Building.Clutch.Mode.Engaged,Connectat,As in the car part - it engages and disengages power shaft connections.
Building.CoffeeBrewery.Description,Prepara cafè.,Coffee should be the same as in Good.Coffee.DisplayName.
Building.CoffeeBrewery.DisplayName,Cafeteria,A building that brews coffee.
Building.CoffeeBrewery.FlavorDescription,"Si no fos pels límits de consum, els Dents de Ferro no dormirien mai.",
Building.CompactWaterWheel.Description,Un generador compacte que transforma el flux d'aigua en energia.,
Building.CompactWaterWheel.DisplayName,Roda d'aigua compacta,A water wheel that's smaller than other versions.
Building.CompactWaterWheel.FlavorDescription,"Sí, es pot reinventar la roda d'aigua.",A play on 'can't reinvent the wheel'
Building.ContaminationBarrier.Description,Atura la contaminació del sòl que s'estén per sota.,Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.ContaminationBarrier.DisplayName,Barriera de contaminació,Name of the building that stops spreading soil contamination that's placed on the ground and is presented as square shape with objects sticking out. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project. Barrier should be the same between Building.IrrigationBarrier.DisplayName and Building.ContaminationBarrier.DisplayName.
Building.ContaminationBarrier.FlavorDescription,"""Una barrera al dia manté les marees tòxiques a ratlla!"" —cartell motivacional","Reference to the ""An apple a day, keeps the doctor away"" proverb. If possible try to adapt the phrase to fit your language."
Building.ContaminationSensor.Description,Mesura la contaminació de l'aigua sota el seu braç.,
Building.ContaminationSensor.DisplayName,Sensor de contaminació,
Building.ContemplationSpot.Description,Un petit lloc on els castors poden contemplar la natura.,
Building.ContemplationSpot.DisplayName,Lloc de contemplació,
Building.ContemplationSpot.FlavorDescription,"Els castors hi passen una estona tranquil·la, rumiant els capricis de la mare natura.",
Building.ControlTower.Description,Una estructura alta que envia un senyal als bots propers per millorar-ne el rendiment.,Bots should be the same as Bot.PluralDisplayName
Building.ControlTower.DisplayName,Torre de control,A building that emits a signal to nearby bots
Building.ControlTower.FlavorDescription,Un bot ha d'obeir les ordres donades pels castors excepte quan ja no en queden.,"A loose adaptation of Asimov's second law of robotics (and a hint at the ""sentient AI"" scenario). Bot must be the same as Bot.TemplateName."
Building.Dam.Description,Bloqueja l'aigua però en deixa passar una part per un sobreeixidor superior.,Spillway is a hole near the top that allows for the water to pass.
Building.Dam.DisplayName,Resclosa,
Building.Dam.FlavorDescription,"Com tothom sap, els fonaments d'una civilització es construeixen sota l'aigua.",
Building.DanceHall.Description,Una sala oberta on els castors poden desfermar la cua.,
Building.DanceHall.DisplayName,Sala de ball,
Building.DanceHall.FlavorDescription,"""Vinga, no et quedis aquí plantat com un avorrit dels Dents de Ferro."" —Suli",Iron Teeth must be the same as Faction.IronTeeth.DisplayName. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.DecontaminationPod.Description,Un bany perquè els castors es recuperin de l'exposició a l'aigua tòxica.,Badwater should be the same as Good.Badwater.DisplayName.
Building.DecontaminationPod.DisplayName,Càpsula de descontaminació,Ideally the name of the building should refer to the contamination effect on the beaver (Need.BadwaterContamination).
Building.DecontaminationPod.FlavorDescription,"""No, Suli, no pots beure extracte. Vas caure al calder quan eres un cadell!"" —Ma 'Ngonel","Reference to Obelix from Asterix and Obelix falling into a cauldron. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.DecorativeClock.Description,Un rellotge decoratiu prou gran perquè els avis el puguin llegir.,
Building.DecorativeClock.DisplayName,Rellotge decoratiu,
Building.DecorativeClock.FlavorDescription,Costa imaginar que antigament els castors feien servir clepsidres.,Clepsydra is an ancient water clock.
Building.DeepBadwaterPump.DisplayName,Bomba profunda d'aigua tòxica,"Badwater Pump Must be the same as Building.BadwaterPump.DisplayName, Deep should be the same as in Building.DeepWaterPump.DisplayName"
Building.DeepBadwaterPump.FlavorDescription,La canonada allargada ajuda tant amb els desnivells com amb la pudor.,
Building.DeepMechanicalFluidPump.DisplayName,Bomba mecànica profunda de fluids,
Building.DeepWaterPump.Description,Bombeja i filtra aigua perquè els castors puguin beure. La contaminació per aigua tòxica n'alenteix la velocitat de bombeig.,
Building.DeepWaterPump.DisplayName,Bomba d'aigua profunda,A water pump which can access deeper water than a regular pump.
Building.DeepWaterPump.FlavorDescription,"""L'aigua ve de les profunditats, on creixen bogues i el castor fa de lampista."" —cançó de treball de dents de ferro","Adapted from Men at Work's famous 'Down Under' song ; Iron Teeth is a faction name, keep consistent (Faction.IronTeeth.DisplayName)"
Building.DepthSensor.Description,Mesura la fondària de l'aigua sota el braç.,
Building.DepthSensor.DisplayName,Sensor de fondària,
Building.Detailer.Description,Personalitza les cues dels castors.,This building allows the player to paint beavers' tails.
Building.Detailer.DisplayName,Decorador,Detailer references that the tail customisations are details/decorations.
Building.Detailer.Folktails.FlavorDescription,Fes que la teva cua expliqui una història.,"Only Folktails have ads, so they can also have magazines. ""Weird Tales"" is a famous pulp magazine."
Building.Detailer.IronTeeth.FlavorDescription,"Vinga, no fa mal fer-se'n un. —Suli","Wordplay, as the IT variant looks painful to use."
Building.Detonator.Description,Arma la dinamita que hi ha a sota.,
Building.Detonator.DisplayName,Detonador,A building which arms a dynamite.
Building.DirtExcavator.Description,Una perforadora minera robusta per recollir terra. Continuarà produint terra fins i tot després d'arribar a la roca mare.,Dirt must the same as Good.Dirt.DisplayName.
Building.DirtExcavator.DisplayName,Excavadora de terra,"A machine used to gather dirt, leaving a giant hole. Dirt must be the same as Good.Dirt.DisplayName."
